id,,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
34200757,,"FABULOSO BUENOS AIRES 1
TANGO SHOWS THEATERS",133412647,Sofia Blanca,Balvanera,-34.60704981,-58.41143674,Entire home/apt,10147,2,10
34201838,,Montañeses Apartments,167710908,Carola,Belgrano,-34.56035,-58.44594,Entire home/apt,11389,2,6
34203198,,Studio en Palermo. Relax y energía para tu estadía,191986617,Santiago,Palermo,-34.58406,-58.44338,Entire home/apt,12425,1,0
34203862,,Cool & cozy apartment in Retiro,150105586,Santiago,Retiro,-34.59496,-58.37839,Entire home/apt,7248,3,26
34205272,,Amplio y luminoso departamento en Palermo Viejo,129649456,Flor,Palermo,-34.5902,-58.42344,Private room,3106,2,6
34211243,,"CASA AREVALO, 24 hours security ! Hermoso!",156466028,Anabella,Palermo,-34.57701,-58.43773,Entire home/apt,20708,2,6
34221845,,Habitación single. Baño compartido.,238000341,Liliana,Saavedra,-34.55143,-58.4844,Private room,3000,1,5
34226561,,Casa Fran @Palermo,408551,Guille,Palermo,-34.58079,-58.40865,Entire home/apt,16123,3,22
34231309,,Buenos Aires Downtown Experience #BAexperience359,87605776,Alejandro,San Nicolas,-34.60295,-58.37589,Entire home/apt,10014,1,25
34245930,,Departamento Confortable en Monserrat,35209647,Ezequiel,Monserrat,-34.61455,-58.39142,Entire home/apt,3000,1,1
34246482,,"Parque Centenario, quiet, two bedrooms
sweet home!",33120711,Sebastian,Caballito,-34.60953,-58.43151,Entire home/apt,8283,4,1
34246665,,ROOM 18 lamaison studio_ bs as,114548618,Fernanda,Belgrano,-34.55203,-58.44229,Private room,10975,1,8
34247120,,Buenos Aires Nuñez Torre con amenities & seguridad,70036783,Natalia,Nuñez,-34.55353,-58.46797,Entire home/apt,10561,3,70
34251977,,Habitación a estrenar en casa deluxe,60115955,Hache,Villa Crespo,-34.60294,-58.44393,Private room,2071,3,5
34252353,,Studio en Palermo 501 Standard c/ Balcon,258557548,Alejandro,Palermo,-34.57769,-58.42418,Entire home/apt,23417,1,4
34252354,,Loft in Palermo Hollywood - 24/7 Security,52423954,Jonathan,Palermo,-34.5838,-58.43279,Entire home/apt,18163,2,41
34253528,,"Fantastic 2Bd apartment, trendy palermo.",140440768,Carolina & Matias,Palermo,-34.59354,-58.4281,Entire home/apt,18608,1,84
34254285,,Habitación privada,258223453,Fiorella,Monserrat,-34.61522,-58.38676,Private room,4349,2,1
